INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT
20004203	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20004203	t_skill_desc_20004203	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20004301	防守意识	受到攻击有{{n5}}%的概率增加{{n6}}%的物防	t_skill_name_20004301	t_skill_desc_20004301	icjn_gjzt000		3																																	1	8	30	5	0	1	
20004302	物防姿态	生命少于{{n5}}%时提升{{n6}}%的物防	t_skill_name_20004302	t_skill_desc_20004302	icjn_wfzt000		3																																	2	8	50	5	0	1	
20004601	拔刀之势	攻击时有{{n5}}%的概率增加{{n6}}%的攻击	t_skill_name_20004601	t_skill_desc_20004601	icjn_bdzs000		3																																	1	7	30	5	0	1	
20004602	暴击光环	全体友军提升{{n5}}%的暴击	t_skill_name_20004602	t_skill_desc_20004602	icjn_bjgh000		3																																	3	11	3	0	0.3	0	
20004901	弱点察觉	攻击时有{{n5}}%的概率增加{{n6}}%的暴击	t_skill_name_20004901	t_skill_desc_20004901	icjn_rdcj000		3																																	1	11	30	5	0	1	
20004902	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20004902	t_skill_desc_20004902	icjn_ssjs000		3																																	2	10	50	5	0	1	
20004903	死亡诅咒	死亡时对全体敌人造成攻击{{n5}}%的伤害	t_skill_name_20004903	t_skill_desc_20004903	icjn_swzz000		3																																	17	0	30	0	3	0	
20005201	拔刀之势	攻击时有{{n5}}%的概率增加{{n6}}%的攻击	t_skill_name_20005201	t_skill_desc_20005201	icjn_bdzs000		3																																	1	7	30	5	0	1	
20005202	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20005202	t_skill_desc_20005202	icjn_jfgj000		3																																	7	0	5	0	1	0	
20005203	怒意复仇	每当一个队友死亡时，增加{{n5}}%的暴击	t_skill_name_20005203	t_skill_desc_20005203	icjn_nygj000		3																																	14	11	1	0	0.15	0	
20005301	拔刀之势	攻击时有{{n5}}%的概率增加{{n6}}%的攻击	t_skill_name_20005301	t_skill_desc_20005301	icjn_bdzs000		3																																	1	7	30	5	0	1	
20005302	物防诅咒	全体敌人降低{{n5}}%的物防	t_skill_name_20005302	t_skill_desc_20005302	icjn_wfzz000		3																																	4	8	-3	0	-0.3	0	
20005303	怒意复仇	每当一个队友死亡时，增加{{n5}}%的暴击	t_skill_name_20005303	t_skill_desc_20005303	icjn_nygj000		3																																	14	11	1	0	0.15	0	
20005501	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20005501	t_skill_desc_20005501	icjn_jfgj000		3																																	7	0	5	0	1	0	
20005502	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20005502	t_skill_desc_20005502	icjn_ssjs000		3																																	2	10	50	5	0	1	
20005503	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20005503	t_skill_desc_20005503	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20005701	拔刀之势	攻击时有{{n5}}%的概率增加{{n6}}%的攻击	t_skill_name_20005701	t_skill_desc_20005701	icjn_bdzs000		3																																	1	7	30	5	0	1	
20005702	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20005702	t_skill_desc_20005702	icjn_ssjs000		3																																	2	10	50	5	0	1	
20005703	怒意复仇	每当一个队友死亡时，增加{{n5}}%的物防	t_skill_name_20005703	t_skill_desc_20005703	icjn_nygj000		3																																	14	8	1	0	0.3	0	
20005801	魔抗准备	受到攻击有{{n5}}%的概率增加{{n6}}%的魔免	t_skill_name_20005801	t_skill_desc_20005801	icjn_mkzb000		3																																	1	15	30	5	0	1	
20005802	魔防姿态	生命少于{{n5}}%时提升{{n6}}%的魔防	t_skill_name_20005802	t_skill_desc_20005802	icjn_mfzt000		3																																	2	9	50	5	0	1	
20005901	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20005901	t_skill_desc_20005901	icjn_jfgj000		3																																	7	0	5	0	1	0	
20005902	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20005902	t_skill_desc_20005902	icjn_ssjs000		3																																	2	10	50	5	0	1	
20005903	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20005903	t_skill_desc_20005903	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20006201	弱点察觉	攻击时有{{n5}}%的概率增加{{n6}}%的暴击	t_skill_name_20006201	t_skill_desc_20006201	icjn_rdcj000		3																																	1	11	30	5	0	1	
20006202	先攻诅咒	全体敌人降低{{n5}}%的先攻	t_skill_name_20006202	t_skill_desc_20006202	icjn_xgzz000		3																																	4	10	-3	0	-0.3	0	
20006203	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20006203	t_skill_desc_20006203	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20006601	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20006601	t_skill_desc_20006601	icjn_jfgj000		3																																	7	0	5	0	1	0	
20006602	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20006602	t_skill_desc_20006602	icjn_ssjs000		3																																	2	10	50	5	0	1	
20006603	死亡奉献	死亡时回复全体友军自身攻击{{n5}}%的生命	t_skill_name_20006603	t_skill_desc_20006603	icjn_swfx000		3																																	18	0	30	0	3	0	
20006701	弱点察觉	攻击时有{{n5}}%的概率增加{{n6}}%的暴击	t_skill_name_20006701	t_skill_desc_20006701	icjn_rdcj000		3																																	1	11	30	5	0	1	
20006702	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20006702	t_skill_desc_20006702	icjn_jfgj000		3																																	7	0	5	0	1	0	
20006703	怒意复仇	每当一个队友死亡时，增加{{n5}}%的暴击	t_skill_name_20006703	t_skill_desc_20006703	icjn_nygj000		3																																	14	11	1	0	0.15	0	
20006901	拔刀之势	攻击时有{{n5}}%的概率增加{{n6}}%的攻击	t_skill_name_20006901	t_skill_desc_20006901	icjn_bdzs000		3																																	1	7	30	5	0	1	
20006902	魔防光环	全体友军提升{{n5}}%的魔防	t_skill_name_20006902	t_skill_desc_20006902	icjn_mfgh000		3																																	3	9	3	0	0.3	0	
20006903	死亡奉献	死亡时回复全体友军自身攻击{{n5}}%的生命	t_skill_name_20006903	t_skill_desc_20006903	icjn_swfx000		3																																	18	0	30	0	3	0	
20010001	弱点察觉	攻击时有{{n5}}%的概率增加{{n6}}%的暴击	t_skill_name_20010001	t_skill_desc_20010001	icjn_rdcj000		3																																	1	11	30	5	0	1	
20010002	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20010002	t_skill_desc_20010002	icjn_jfgj000		3																																	7	0	5	0	1	0	
20010003	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20010003	t_skill_desc_20010003	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20010101	物防姿态	生命少于{{n5}}%时提升{{n6}}%的物防	t_skill_name_20010101	t_skill_desc_20010101	icjn_wfzt000		3																																	2	8	50	5	0	1	
20010102	料敌先机	受到攻击有{{n5}}%的概率增加{{n6}}%的格挡	t_skill_name_20010102	t_skill_desc_20010102	icjn_gjzt000		3																																	1	12	30	5	0	1	
20010103	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20010103	t_skill_desc_20010103	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20020101	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20020101	t_skill_desc_20020101	icjn_ssjs000		3																																	2	10	50	5	0	1	
20020102	生命之风	每回合回复全体友军自身攻击{{n5}}%的生命	t_skill_name_20020102	t_skill_desc_20020102	icjn_smzf000		3																																	10	0	2	0	0.3	0	
20020103	怒意复仇	每当一个队友死亡时，增加{{n5}}%的暴击	t_skill_name_20020103	t_skill_desc_20020103	icjn_nygj000		3																																	14	11	1	0	0.15	0	
20020104	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20020104	t_skill_desc_20020104	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20020105	物理藐视	受到物理型伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20020105	t_skill_desc_20020105	icjn_wlms000		3																																	12	2	5	0	0.75	0	
20020201	魔免姿态	生命少于{{n5}}%时提升{{n6}}%的魔免	t_skill_name_20020201	t_skill_desc_20020201	icjn_mfzt000		3																																	2	15	50	5	0	1	
20020202	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20020202	t_skill_desc_20020202	icjn_gjzt000		3																																	2	7	50	5	0	1	
20020203	魔法藐视	受到魔法型伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20020203	t_skill_desc_20020203	icjn_mfms000		3																																	12	3	5	0	0.75	0	
20020204	防御压制	受到品质低于自己的伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20020204	t_skill_desc_20020204	icjn_fyyz000		3																																	20	0	5	0	0.6	0	
20020205	怒意复仇	每当一个队友死亡时，增加{{n5}}%的格挡	t_skill_name_20020205	t_skill_desc_20020205	icjn_nygj000		3																																	14	12	1	0	0.15	0	
20020301	暴击光环	全体友军提升{{n5}}%的暴击	t_skill_name_20020301	t_skill_desc_20020301	icjn_bjgh000		3																																	3	11	3	0	0.3	0	
20020302	精准攻击	生命少于{{n5}}%时提升{{n6}}%的暴击	t_skill_name_20020302	t_skill_desc_20020302	icjn_jzgj000		3																																	2	12	50	5	0	1	
20020303	物理克制	对物理型伙伴增加{{n5}}%的伤害	t_skill_name_20020303	t_skill_desc_20020303	icjn_wlkz000		3																																	11	2	5	0	0.75	0	
20020304	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20020304	t_skill_desc_20020304	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20020305	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20020305	t_skill_desc_20020305	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20020401	精准攻击	生命少于{{n5}}%时提升{{n6}}%的暴击	t_skill_name_20020401	t_skill_desc_20020401	icjn_jzgj000		3																																	2	12	50	5	0	1	
20020402	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20020402	t_skill_desc_20020402	icjn_jfgj000		3																																	7	0	5	0	1	0	
20020403	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20020403	t_skill_desc_20020403	icjn_gjzt000		3																																	2	7	50	5	0	1	
20020404	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20020404	t_skill_desc_20020404	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20020405	防御压制	受到品质低于自己的伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20020405	t_skill_desc_20020405	icjn_fyyz000		3																																	20	0	5	0	0.6	0	
20020501	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20020501	t_skill_desc_20020501	icjn_gjzt000		3																																	2	7	50	5	0	1	
20020502	吸血攻击	攻击时吸收伤害值{{n5}}%的生命	t_skill_name_20020502	t_skill_desc_20020502	icjn_xxgj000		3																																	5	0	5	0	1	0	
20020503	动力护甲	单次受到的伤害无法超过最大生命的{{n5}}%	t_skill_name_20020503	t_skill_desc_20020503	icjn_dlhj000		3																																	8	0	90	0	-1.2	0	
20020504	防御压制	受到品质低于自己的伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20020504	t_skill_desc_20020504	icjn_fyyz000		3																																	20	0	5	0	0.6	0	
20020505	护盾精通	受到普通攻击时伤害减少{{n5}}%	t_skill_name_20020505	t_skill_desc_20020505	icjn_hdjt000		3																																	15	0	5	0	1	0	
20020601	物防姿态	生命少于{{n5}}%时提升{{n6}}%的物防	t_skill_name_20020601	t_skill_desc_20020601	icjn_wfzt000		3																																	2	8	50	5	0	1	
20020602	攻击诅咒	全体敌人降低{{n5}}%的攻击	t_skill_name_20020602	t_skill_desc_20020602	icjn_gjzz000		3																																	4	7	-3	0	-0.3	0	
20020603	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20020603	t_skill_desc_20020603	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20020604	防御压制	受到品质低于自己的伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20020604	t_skill_desc_20020604	icjn_fyyz000		3																																	20	0	5	0	0.6	0	
20020605	魔法克制	对魔法型伙伴增加{{n5}}%的伤害	t_skill_name_20020605	t_skill_desc_20020605	icjn_mfkz000		3																																	11	3	5	0	0.75	0	
20020701	穿甲武器	攻击时有{{n5}}%概率无视对方防御	t_skill_name_20020701	t_skill_desc_20020701	icjn_cjwq000		3																																	9	0	5	0	1	0	
20020702	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20020702	t_skill_desc_20020702	icjn_gjzt000		3																																	2	7	50	5	0	1	
20020703	防御克制	对防御型伙伴增加{{n5}}%的伤害	t_skill_name_20020703	t_skill_desc_20020703	icjn_mfkz000		3																																	11	1	5	0	0.75	0	
20020704	防御压制	受到品质低于自己的伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20020704	t_skill_desc_20020704	icjn_fyyz000		3																																	20	0	5	0	0.6	0	
20020705	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20020705	t_skill_desc_20020705	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20020801	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20020801	t_skill_desc_20020801	icjn_gjzt000		3																																	2	7	50	5	0	1	
20020802	吸血攻击	攻击时吸收伤害值{{n5}}%的生命	t_skill_name_20020802	t_skill_desc_20020802	icjn_xxgj000		3																																	5	0	5	0	1	0	
20020803	物理藐视	受到物理型伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20020803	t_skill_desc_20020803	icjn_wlms000		3																																	12	2	5	0	0.75	0	
20020804	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20020804	t_skill_desc_20020804	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20020805	死亡奉献	死亡时回复全体友军自身攻击{{n5}}%的生命	t_skill_name_20020805	t_skill_desc_20020805	icjn_swfx000		3																																	18	0	30	0	3	0	
20020901	攻击诅咒	全体敌人降低{{n5}}%的攻击	t_skill_name_20020901	t_skill_desc_20020901	icjn_gjzz000		3																																	4	7	-3	0	-0.3	0	
20020902	生命之风	每回合回复全体友军自身攻击{{n5}}%的生命	t_skill_name_20020902	t_skill_desc_20020902	icjn_smzf000		3																																	10	0	2	0	0.3	0	
20020903	复活重生	死亡时有{{n5}}%的概率复活，回复{{n6}}%的生命，每次战斗仅作用一次	t_skill_name_20020903	t_skill_desc_20020903	icjn_fhcs000		3																																	6	0	10	40	2	0	
20020904	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20020904	t_skill_desc_20020904	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20020905	魔法克制	对魔法型伙伴增加{{n5}}%的伤害	t_skill_name_20020905	t_skill_desc_20020905	icjn_mfkz000		3																																	11	3	5	0	0.75	0	
20021101	先攻诅咒	全体敌人降低{{n5}}%的先攻	t_skill_name_20021101	t_skill_desc_20021101	icjn_xgzz000		3																																	4	10	-3	0	-0.3	0	
20021102	魔防光环	全体友军提升{{n5}}%的魔防	t_skill_name_20021102	t_skill_desc_20021102	icjn_mfgh000		3																																	3	9	3	0	0.3	0	
20021103	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20021103	t_skill_desc_20021103	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20021104	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20021104	t_skill_desc_20021104	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20021105	死亡诅咒	死亡时对全体敌人造成攻击{{n5}}%的伤害	t_skill_name_20021105	t_skill_desc_20021105	icjn_swzz000		3																																	17	0	30	0	3	0	
20021201	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20021201	t_skill_desc_20021201	icjn_gjzt000		3																																	2	7	50	5	0	1	
20021202	穿甲武器	攻击时有{{n5}}%概率无视对方防御	t_skill_name_20021202	t_skill_desc_20021202	icjn_cjwq000		3																																	9	0	5	0	1	0	
20021203	防御克制	对防御型伙伴增加{{n5}}%的伤害	t_skill_name_20021203	t_skill_desc_20021203	icjn_fykz000		3																																	11	1	5	0	0.75	0	
20021204	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20021204	t_skill_desc_20021204	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20021205	死亡诅咒	死亡时对全体敌人造成攻击{{n5}}%的伤害	t_skill_name_20021205	t_skill_desc_20021205	icjn_swzz000		3																																	17	0	30	0	3	0	
20021301	防守意识	受到攻击有{{n5}}%的概率增加{{n6}}%的物防	t_skill_name_20021301	t_skill_desc_20021301	icjn_gjzt000		3																																	1	8	30	5	0	1	
20021302	吸血攻击	攻击时吸收伤害值{{n5}}%的生命	t_skill_name_20021302	t_skill_desc_20021302	icjn_xxgj000		3																																	5	0	5	0	1	0	
20021303	物理藐视	受到物理型伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20021303	t_skill_desc_20021303	icjn_wlms000		3																																	12	2	5	0	0.75	0	
20021304	防御压制	受到品质低于自己的伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20021304	t_skill_desc_20021304	icjn_fyyz000		3																																	20	0	5	0	0.6	0	
20021305	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20021305	t_skill_desc_20021305	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20021401	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20021401	t_skill_desc_20021401	icjn_ssjs000		3																																	2	10	50	5	0	1	
20021402	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20021402	t_skill_desc_20021402	icjn_jfgj000		3																																	7	0	5	0	1	0	
20021403	物理克制	对物理型伙伴增加{{n5}}%的伤害	t_skill_name_20021403	t_skill_desc_20021403	icjn_wlkz000		3																																	11	2	5	0	0.75	0	
20021404	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20021404	t_skill_desc_20021404	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20021405	怒意复仇	每当一个队友死亡时，增加{{n5}}%的暴击	t_skill_name_20021405	t_skill_desc_20021405	icjn_nygj000		3																																	14	11	1	0	0.15	0	
20021501	魔防姿态	生命少于{{n5}}%时提升{{n6}}%的魔防	t_skill_name_20021501	t_skill_desc_20021501	icjn_mfzt000		3																																	2	9	50	5	0	1	
20021502	魔防诅咒	全体敌人降低{{n5}}%的魔防	t_skill_name_20021502	t_skill_desc_20021502	icjn_mfzz000		3																																	4	9	-3	0	-0.3	0	
20021503	复活重生	死亡时有{{n5}}%的概率复活，回复{{n6}}%的生命，每次战斗仅作用一次	t_skill_name_20021503	t_skill_desc_20021503	icjn_fhcs000		3																																	6	0	10	40	2	0	
20021504	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20021504	t_skill_desc_20021504	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20021505	死亡诅咒	死亡时对全体敌人造成攻击{{n5}}%的伤害	t_skill_name_20021505	t_skill_desc_20021505	icjn_swzz000		3																																	17	0	30	0	3	0	
20040101	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20040101	t_skill_desc_20040101	icjn_ssjs000		3																																	2	10	50	5	0	1	
20040102	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20040102	t_skill_desc_20040102	icjn_gjzt000		3																																	2	7	50	5	0	1	
20040103	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20040103	t_skill_desc_20040103	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20040104	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20040104	t_skill_desc_20040104	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20040105	动力护甲	单次受到的伤害无法超过最大生命的{{n5}}%	t_skill_name_20040105	t_skill_desc_20040105	icjn_dlhj000		3																																	8	0	90	0	-1.2	0	
20040201	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20040201	t_skill_desc_20040201	icjn_gjzt000		3																																	2	7	50	5	0	1	
20040202	吸血攻击	攻击时吸收伤害值{{n5}}%的生命	t_skill_name_20040202	t_skill_desc_20040202	icjn_xxgj000		3																																	5	0	5	0	1	0	
20040203	魔法克制	对魔法型伙伴增加{{n5}}%的伤害	t_skill_name_20040203	t_skill_desc_20040203	icjn_mfkz000		3																																	11	3	5	0	0.75	0	
20040204	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20040204	t_skill_desc_20040204	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20040205	怒意复仇	每当一个队友死亡时，增加{{n5}}%的暴击	t_skill_name_20040205	t_skill_desc_20040205	icjn_nygj000		3																																	14	11	1	0	0.15	0	
20040301	攻击光环	全体友军提升{{n5}}%的攻击	t_skill_name_20040301	t_skill_desc_20040301	icjn_gjgh000		3																																	3	7	3	0	0.3	0	
20040302	闪避姿态	生命少于{{n5}}%时提升{{n6}}%的闪避	t_skill_name_20040302	t_skill_desc_20040302	icjn_sbzt000		3																																	2	17	50	5	0	1	
20040303	魔法藐视	受到魔法型伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20040303	t_skill_desc_20040303	icjn_mfms000		3																																	12	3	5	0	0.75	0	
20040304	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20040304	t_skill_desc_20040304	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20040305	魔法克制	对魔法型伙伴增加{{n5}}%的伤害	t_skill_name_20040305	t_skill_desc_20040305	icjn_wlkz000		3																																	11	3	5	0	0.75	0	
20040401	减伤姿态	生命少于{{n5}}%时提升{{n6}}%的减伤	t_skill_name_20040401	t_skill_desc_20040401	icon_jszt000		3																																	2	21	50	5	0	1	
20040402	荆棘之躯	受到攻击时有{{n5}}%的概率反弹{{n6}}%的伤害	t_skill_name_20040402	t_skill_desc_20040402	icon_jjzc000		3																																	22	0	5	40	1	0	
20040403	物理藐视	受到物理型伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20040403	t_skill_desc_20040403	icjn_wlms000		3																																	12	2	5	0	0.75	0	
20040404	防御压制	受到品质低于自己的伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20040404	t_skill_desc_20040404	icjn_gjyz000		3																																	20	0	5	0	0.6	0	
20040405	护盾精通	受到普通攻击时伤害减少{{n5}}%	t_skill_name_20040405	t_skill_desc_20040405	icjn_hdjt000		3																																	15	0	5	0	1	0	
20040501	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20040501	t_skill_desc_20040501	icjn_jfgj000		3																																	7	0	5	0	1	0	
20040502	先攻诅咒	全体敌人降低{{n5}}%的先攻	t_skill_name_20040502	t_skill_desc_20040502	icjn_xgzz000		3																																	4	10	-3	0	-0.3	0	
20040503	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20040503	t_skill_desc_20040503	icjn_ssjs000		3																																	2	10	50	5	0	1	
20040504	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20040504	t_skill_desc_20040504	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20040505	防御克制	对防御型伙伴增加{{n5}}%的伤害	t_skill_name_20040505	t_skill_desc_20040505	icjn_fykz000		3																																	11	1	5	0	0.75	0	
20040601	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20040601	t_skill_desc_20040601	icjn_jfgj000		3																																	7	0	5	0	1	0	
20040602	弱点察觉	攻击时有{{n5}}%的概率增加{{n6}}%的暴击	t_skill_name_20040602	t_skill_desc_20040602	icjn_rdcj000		3																																	1	11	30	5	0	1	
20040603	先攻光环	全体友军提升{{n5}}%的先攻	t_skill_name_20040603	t_skill_desc_20040603	icjn_gjzt000		3																																	3	10	3	0	0.3	0	
20040604	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20040604	t_skill_desc_20040604	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20040605	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20040605	t_skill_desc_20040605	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20040001	格挡姿态	生命少于{{n5}}%时提升{{n6}}%的格挡	t_skill_name_20040001	t_skill_desc_20040001	icjn_gdzt000		3																																	2	12	50	5	0	1	
20040002	复活重生	死亡时有{{n5}}%的概率复活，回复{{n6}}%的生命，每次战斗仅作用一次	t_skill_name_20040002	t_skill_desc_20040002	icjn_fhcs000		3																																	6	0	10	40	2	0	
20040003	物理藐视	受到物理型伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20040003	t_skill_desc_20040003	icjn_wlms000		3																																	12	2	5	0	0.75	0	
20040004	防御压制	受到品质低于自己的伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20040004	t_skill_desc_20040004	icjn_gjyz000		3																																	20	0	5	0	0.6	0	
20040005	怒意复仇	每当一个队友死亡时，增加{{n5}}%的减伤	t_skill_name_20040005	t_skill_desc_20040005	icjn_hdjt000		3																																	14	21	1	0	0.15	0	
20050001	攻击诅咒	全体敌人降低{{n5}}%的攻击	t_skill_name_20050001	t_skill_desc_20050001	icjn_gjzz000		3																																	4	7	-3	0	-0.3	0	
20050002	能量之风	每回合{{n5}}%的概率回复全体友军1点能量	t_skill_name_20050002	t_skill_desc_20050002	icon_nlzf000		3																																	21	0	5	0	1	0	
20050003	魔法克制	对魔法型伙伴增加{{n5}}%的伤害	t_skill_name_20050003	t_skill_desc_20050003	icjn_wlkz000		3																																	11	3	5	0	0.75	0	
20050004	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20050004	t_skill_desc_20050004	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20050005	物理克制	对物理型伙伴增加{{n5}}%的伤害	t_skill_name_20050005	t_skill_desc_20050005	icjn_wlkz000		3																																	11	2	5	0	0.75	0	
20050101	增伤姿态	生命少于{{n5}}%时提升{{n6}}%的增伤	t_skill_name_20050101	t_skill_desc_20050101	icon_zszt000		3																																	2	20	50	5	0	1	
20050102	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20050102	t_skill_desc_20050102	icjn_jfgj000		3																																	7	0	5	0	1	0	
20050103	物理藐视	受到物理型伙伴攻击时，伤害减少{{n5}}%	t_skill_name_20050103	t_skill_desc_20050103	icjn_wlms000		3																																	12	2	5	0	0.75	0	
20050104	攻击压制	对品质低于自己的伙伴增加{{n5}}%的伤害	t_skill_name_20050104	t_skill_desc_20050104	icjn_gjyz000		3																																	19	0	5	0	0.75	0	
20050105	防御克制	对防御型伙伴增加{{n5}}%的伤害	t_skill_name_20050105	t_skill_desc_20050105	icjn_fykz000		3																																	11	1	5	0	0.75	0	
20050201	攻击光环	全体友军提升{{n5}}%的攻击	t_skill_name_20050201	t_skill_desc_20050201	icjn_gjgh000		3																																	3	7	3	0	0.3	0	
